TIPO DE PRODUCTO,RAZON SOCIAL VISITADA,ENTIDAD,INCUMPLIMIENTO
JOYERIA DE FANTASIA,LLAVEROS NACIONALES E IMPORTADOS Y/O SIXTO HERNANDEZ BALTAZAR,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DEPORTIVOS,LLAVEROS NACIONALES E IMPORTADOS Y/O SIXTO HERNANDEZ BALTAZAR,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE FERRETERIA,DISTRIBUIDORA BARRAGAN  S.A DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE FERRETERIA,DISTRIBUIDORA BARRAGAN  S.A DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS DE VESTIR,SUPREME HAIR MEXICO,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS DE VESTIR,SUPREME HAIR MEXICO,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS DE VESTIR,SUPREME HAIR MEXICO,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS DE VESTIR,SUPREME HAIR MEXICO,DISTRITO FEDERAL,Carece de leyenda que identifique el pais de origen del producto
ACCESORIOS DE VESTIR,SUPREME HAIR MEXICO,DISTRITO FEDERAL,Carece de la informacion comercial obligatoria
ARTICULOS DE BELLEZA,SUPREME HAIR MEXICO,DISTRITO FEDERAL,Carece del domicilio fiscal del fabricante o responsable de la fabricaiæn para productos nacionales o del importador
APARATOS ELECTRICOS,SUPREME HAIR MEXICO,DISTRITO FEDERAL,Carece de la marca del producto en el empaque
APARATOS ELECTRICOS,SUPREME HAIR MEXICO,DISTRITO FEDERAL,Carece de certificado de cumplimiento NOM
TEXTILES,L & D Y/O JIAN LAN LIN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
TEXTILES,L & D Y/O JIAN LAN LIN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
TEXTILES,L & D Y/O JIAN LAN LIN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
TEXTILES,L & D Y/O JIAN LAN LIN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
TEXTILES,L & D Y/O JIAN LAN LIN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PLAYERAS,LAS FABRICAS DE MEXICO Y/O MARIA ELENA ESTEBAN SILVA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRENDAS DE VESTIR,LAS FABRICAS DE MEXICO Y/O MARIA ELENA ESTEBAN SILVA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ROPA INFANTIL,LAS FABRICAS DE MEXICO Y/O MARIA ELENA ESTEBAN SILVA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRENDAS DE VESTIR,LAS FABRICAS DE MEXICO Y/O MARIA ELENA ESTEBAN SILVA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRENDAS DE VESTIR,LAS FABRICAS DE MEXICO Y/O MARIA ELENA ESTEBAN SILVA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PLAYERAS,LAS FABRICAS DE MEXICO Y/O MARIA ELENA ESTEBAN SILVA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRENDAS DE VESTIR,LAS FABRICAS DE MEXICO Y/O MARIA ELENA ESTEBAN SILVA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE PIEL,MAYOREO Y MENUDEO Y/O CECILIA VALDEZ JUAREZ,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE PIEL,MAYOREO Y MENUDEO Y/O CECILIA VALDEZ JUAREZ,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
APARATOS ELECTRICOS,MAYOREO Y MENUDEO Y/O CECILIA VALDEZ JUAREZ,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE PIEL,SUNRI IMPORT - EXPORT  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE PIEL,SUNRI IMPORT - EXPORT  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE PIEL,SUNRI IMPORT - EXPORT  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MAYONESA,GRUPO CELLIS Y/O ARTURO CELIS ANDRADE,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,ABARROTES MONARCA  S.A. DE C.V.  YO DISTRIBUIDORA MONARCA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,ABARROTES EL SUPER Y/O RICARDO VILLASE–OR GUDI–O,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,ABARROTES EL SUPER Y/O RICARDO VILLASE–OR GUDI–O,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SOPA DE PASTA,EL SURTIDOR Y/O  JORGE ALBERTO SOTOMAYOR CASTRO CANDIANI,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SALSA,EL SURTIDOR Y/O  JORGE ALBERTO SOTOMAYOR CASTRO CANDIANI,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,PROMOTORA ABARROTERA DEL NORTE S.A DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,PROMOTORA ABARROTERA DEL NORTE S.A DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,ABASTECEDORA DE ABARROTES GARZA S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,ABASTECEDORA DE ABARROTES GARZA S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
REFRESCOS,TIENDAS DE DESCUENTO DE LA CENTRAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
AGUA  PURIFICADA,TIENDAS DE DESCUENTO DE LA CENTRAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,LA BARQUITA ESPECIAL DE CEDA  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
VELADORAS  Y CERAS,LOS ANICETOS  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
VELADORAS  Y CERAS,LOS ANICETOS  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
VELADORAS  Y CERAS,LOS ANICETOS  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE PAPEL,LA BOLSA FELIZ  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,LA BOLSA FELIZ  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,GRUPO MILO Y BETO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,GRUPO MILO Y BETO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE PAPEL,GRUPO MILO Y BETO  S.A. DE C.V. Y/O LA ABEJITA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,GRUPO MILO Y BETO  S.A. DE C.V. Y/O LA ABEJITA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
FRIJOLES,MOLIMAX,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACEITE COMESTIBLE,MOLIMAX,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,MOLIMAX,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SALSA,MATERIAS PRIMAS CHRISVALY Y/O NORBERTO ERIK ALBA CALDERON,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SALSA,MATERIAS PRIMAS CHRISVALY Y/O NORBERTO ERIK ALBA CALDERON,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SALSA,MATERIAS PRIMAS CHRISVALY Y/O NORBERTO ERIK ALBA CALDERON,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MOLE,CHILES SECOS EL PARAISO Y/O MA. DE JESUS EUGENIA FRANCO GRANILLO,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MOLE,CHILES SECOS EL PARAISO Y/O MA. DE JESUS EUGENIA FRANCO GRANILLO,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MOLE,CHILES SECOS EL PARAISO Y/O MA. DE JESUS EUGENIA FRANCO GRANILLO,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,LA MOLINERA DE ABASTOS  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,LA MOLINERA DE ABASTOS  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,LA MOLINERA DE ABASTOS  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,VTA. DE CHILES SECOS Y SEMILLAS COMERCIAL LA CHISPITA Y/O NORMA VILLEGAS VEGA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,VTA. DE CHILES SECOS Y SEMILLAS COMERCIAL LA CHISPITA Y/O NORMA VILLEGAS VEGA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,VTA. DE CHILES SECOS Y/O MARIA ESTHER ROMERO OLGUN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SALSA,VTA. DE CHILES SECOS Y/O MARIA ESTHER ROMERO OLGUN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MAYONESA,EL PALMAR Y/O FERMIN SOTO HERNANDEZ,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,EL PALMAR Y/O FERMIN SOTO HERNANDEZ,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,VENTA DE SEMILLAS Y CHILES SECOS Y/O TANIA SANCHEZ ROSAS,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SARDINAS,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SALSA,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
CHILES,CREMERIA Y ABARROTES CASA HERNANDEZ,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SARDINAS,CREMERIA Y ABARROTES CASA HERNANDEZ,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,VIVERES ZARAGOZA  S.A.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,VIVERES ZARAGOZA  S.A.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE PAPEL,VIVERES ZARAGOZA  S.A.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MASA  TORTILLAS  TOSTADAS  HARINAS PREP.,COMERCIO SUPER NETO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ENSALADAS,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
GALLETAS,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,CADENA COMERCIAL OXXO S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,CADENA COMERCIAL OXXO S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARROZ,CADENA COMERCIAL OXXO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACEITE COMESTIBLE,CADENA COMERCIAL OXXO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MAYONESA,CADENA COMERCIAL OXXO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ENLATADOS,TIENDAS TRES B  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
COMIDA RAPIDA,TIENDAS TRES B  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACEITE COMESTIBLE,TIENDAS TRES B  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SAL DE MESA,CADENA COMERCIAL OXXO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CADENA COMERCIAL OXXO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
FRIJOLES,CADENA COMERCIAL OXXO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SARDINAS,TIENDAS TRES B  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ENLATADOS,TIENDAS TRES B  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
GALLETAS,LOS SENDEROS  S.A. DE C.V. Y/O SUPER VOY,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
NECTAR,LOS SENDEROS  S.A. DE C.V. Y/O SUPER VOY,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
COMIDA RAPIDA,LOS SENDEROS  S.A. DE C.V. Y/O SUPER VOY,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
RASTRILLOS,CADENA COMERCIAL OXXO   S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS ELECTRONICOS,CADENA COMERCIAL OXXO   S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CADENA COMERCIAL OXXO   S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
CATSUP,CADENA COMERCIAL OXXO   S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MASA  TORTILLAS  TOSTADAS  HARINAS PREP.,CADENA COMERCIAL OXXO   S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DEL HOGAR,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS P/ TELEFONO CELULAR,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MAYONESA,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SALSA,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PAN,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
RASTRILLOS,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PAN,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
AGUA  PURIFICADA,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,7 ELEVEN MEXICO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
CATSUP,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.    (TIENDA WALMART),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.    (TIENDA WALMART),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.    (TIENDA WALMART),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS P/ TELEFONO CELULAR,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (BODEGA AURRERA),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS P/ TELEFONO CELULAR,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (BODEGA AURRERA),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (BODEGA AURRERA),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE PLASTICO,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (BODEGA AURRERA),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
CATSUP,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (BODEGA AURRERA),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MAYONESA,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (BODEGA AURRERA),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (SAM'S CLUB),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (SAM'S CLUB),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (SAM'S CLUB),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (SAM'S CLUB),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.   (SAM'S CLUB),DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
JOYERIA DE FANTASIA,ARTESANIAS LIRA Y/O ANGELICA SANCHEZ CASA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
JOYERIA DE FANTASIA,ARTESANIAS LIRA Y/O ANGELICA SANCHEZ CASA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
LLAVEROS,ARTESANIAS LIRA Y/O ANGELICA SANCHEZ CASA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
JOYERIA DE FANTASIA,ARTESANIAS LIRA Y/O ANGELICA SANCHEZ CASA,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
APARATOS ELECTRONICOS,RJD  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
APARATOS ELECTRONICOS,RJD  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS P/ TELEFONO CELULAR,MOSS UNICELL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS P/ TELEFONO CELULAR,MOSS UNICELL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS P/ TELEFONO CELULAR,MOSS UNICELL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
JOYERIA DE FANTASIA,WU JIAN XIN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS PARA REGALO,WU JIAN XIN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE BELLEZA,WU JIAN XIN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
JOYERIA DE FANTASIA,WU JIAN XIN,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CESARFER  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CESARFER  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CESARFER  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CESARFER  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CESARFER  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CESARFER  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACEITE COMESTIBLE,CESARFER  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
LAMPARAS,DISTRIBUIDORA MUSICAL INTERNACIONAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
APARATOS ELECTRICOS,DISTRIBUIDORA MUSICAL INTERNACIONAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
APARATOS ELECTRICOS,DISTRIBUIDORA MUSICAL INTERNACIONAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE FERRETERIA,DISTRIBUIDORA MUSICAL INTERNACIONAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DEL HOGAR,DISTRIBUIDORA MUSICAL INTERNACIONAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DEL HOGAR,DISTRIBUIDORA MUSICAL INTERNACIONAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS ESCOLARES,DISTRIBUIDORA MUSICAL INTERNACIONAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE PLASTICO,DISTRIBUIDORA MUSICAL INTERNACIONAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS ESCOLARES,DISTRIBUIDORA MUSICAL INTERNACIONAL  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CHILES SECOS LA HORMIGA  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CHILES SECOS LA HORMIGA  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACEITE COMESTIBLE,SEMILLAS NUEVA LUNA  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PAPEL HIGIENICO,ORGANIZACION SAHUAYO S.A DE  C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ENLATADOS,ORGANIZACION SAHUAYO S.A DE  C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
CONSERVA ALIMENTICIA|,ORGANIZACION SAHUAYO S.A DE  C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
FRIJOLES,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ACEITE COMESTIBLE,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,GRUPO ZORRO ABARROTERO  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,TIENDAS EXTRA  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DESECHABLES,TIENDAS EXTRA  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
MAYONESA,TIENDAS EXTRA  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
SALSA,TIENDAS EXTRA  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,TIENDAS EXTRA  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
ATUN,TIENDAS EXTRA  S.A. DE C.V.,DISTRITO FEDERAL,NO SE DETECTO INCUMPLIMIENTO
